ID in GmHapMap dataset	PI_# & Name	Origin	Depth of Coverage (x)
Gm_H150	LG05-4317	SoyNAM	10
Gm_H151	LG05-4464	SoyNAM	10
Gm_H152	LG05-4832	SoyNAM	10
Gm_H153	LG90-2550	SoyNAM	6
Gm_H154	LG92-1255	SoyNAM	10
Gm_H155	LG94-1128	SoyNAM	6
Gm_H156	LG94-1906	SoyNAM	8
Gm_H157	LG97-7012	SoyNAM	6
Gm_H158	LG98-1605	SoyNAM	6
Gm_H159	Magellan	SoyNAM	4
Gm_H160	Maverick	SoyNAM	6
Gm_H161	NE3001	SoyNAM	9
Gm_H162	PI398_881	SoyNAM	11
Gm_H163	PI404_188A	SoyNAM	12
Gm_H164	PI427_136	SoyNAM	14
Gm_H165	PI437_169B	SoyNAM	16
Gm_H166	PI507_681B	SoyNAM	12
Gm_H167	PI518_751	SoyNAM	15
Gm_H168	PI561_370	SoyNAM	14
Gm_H169	PI574_486	SoyNAM	10
Gm_H170	Prohio	SoyNAM	11
Gm_H171	S06-13640	SoyNAM	6
Gm_H172	Skylla	SoyNAM	7
Gm_H173	TN05-3027	SoyNAM	11
Gm_H174	U03-100612	SoyNAM	15
Gm_H175	PI_ 518664; Hutcheson	U.S.A. 	13
Gm_H176	PI_ 548402; Peking	China 	16
Gm_H177	PI_ 089772 	China 	13
Gm_H178	PI_ 090763 	China 	13
Gm_H179	PI_ 404166 	China 	13
Gm_H180	PI_ 407788A 	South Korea 	16
Gm_H181	PI_ 424298 	South Korea 	14
Gm_H182	PI_ 437655 	China 	16
Gm_H183	PI_ 495017C 	China 	20
Gm_H184	PI_ 468915 	China 	20
Gm_H185	PI_ 507354 	Japan 	14
Gm_H186	PI_ 567305 	China 	18
Gm_H187	S05-11482	U.S.A. 	12
Gm_H188	PI_ 548667	U.S.A. 	16
Gm_H189	PI_ 437654 	China 	15
Gm_H190	PI_ 567387 	China 	13
Gm_H191	PI_ 437690 	China 	18
Gm_H192	PI_ 548402 	China 	13
Gm_H193	PI_ 088788 	China 	15
Gm_H194	PI_ 209332 	Japan 	17
Gm_H195	PI_ 404198B 	China 	18
Gm_H196	PI_ 424608A 	South Korea 	16
Gm_H197	PI_ 548316 	China 	16
Gm_H198	PI_ 567516C 	China 	15
Gm_H199	PI_ 612611 	North Korea 	20
Gm_H200	S10-11227 	U.S.A. 	20
Gm_H201	Holladay (S-100) 	U.S.A. 	16
Gm_H202	IA3023	U.S.A. 	19
Gm_H203	Maverick	U.S.A. 	15
Gm_H204	PI_ 079691-4 	China 	13
Gm_H205	PI_ 086006 	Japan 	17
Gm_H206	PI_ 087617 	North Korea 	14
Gm_H207	PI_ 087631-1 	Japan 	19
Gm_H208	PI_ 196175 	South Korea 	20
Gm_H209	HN036	ND	20
Gm_H210	PI_ 200508 	Japan 	17
Gm_H211	PI_ 248515 	Japan 	20
Gm_H212	PI_ 398593 	South Korea 	19
Gm_H213	PI_ 398595 	South Korea 	18
Gm_H214	PI_ 398610 	South Korea 	20
Gm_H215	PI_ 398614 	South Korea 	17
Gm_H216	PI_ 407729 	China 	19
Gm_H217	PI_ 407965 	South Korea 	18
Gm_H218	PI_ 408105A 	South Korea 	18
Gm_H219	PI_ 416937 	Japan 	18
Gm_H220	PI_ 424078 	South Korea 	19
Gm_H221	PI_ 437169B 	Russia	18
Gm_H222	PI_ 437679 	China 	19
Gm_H223	PI_ 437863A 	China 	18
Gm_H224	PI_ 438258 	China 	14
Gm_H225	PI_ 458515 	China 	21
Gm_H226	PI_ 464920B 	China 	18
Gm_H227	PI_ 467312 	China 	17
Gm_H228	PI_ 471938 	Nepal 	15
Gm_H229	PI_ 475783B 	China 	15
Gm_H230	PI_ 518751 	Former Serbia 	15
Gm_H231	PI_ 542044 	U.S.A. 	23
Gm_H232	PI_ 547862 	U.S.A. 	20
Gm_H233	PI_ 548317 	China 	19
Gm_H234	PI_ 548349 	North Korea 	20
Gm_H235	PI_ 548415 	China 	16
Gm_H236	PI_ 548511 	U.S.A. 	16
Gm_H237	PI_ 548657; Jackson	U.S.A. 	17
Gm_H238	PI_ 552538; Dunbar	U.S.A. 	16
Gm_H239	PI_ 561271 	China 	18
Gm_H240	PI_ 567230 	China 	18
Gm_H241	PI_ 567336B 	China 	17
Gm_H242	PI_ 567343 	China 	18
Gm_H243	PI_ 567354 	China 	15
Gm_H244	PI_ 567357 	China 	18
Gm_H245	PI_ 567383 	China 	16
Gm_H246	PI_ 567519 	China 	18
Gm_H247	PI_ 567611 	China 	17
Gm_H248	PI_ 567651 	China 	18
Gm_H249	PI_ 567690 	China 	15
Gm_H250	PI_ 567719 	China 	17
Gm_H251	PI_ 567731 	China 	15
Gm_H252	PI_ 591539 	U.S.A. 	16
Gm_H253	PI_ 593258; Macon	ND	19
Gm_H254	PI_ 594012 	South Korea 	18
Gm_H255	PI_ 594512A 	China 	18
Gm_H256	PI_ 594599 	China 	20
Gm_H257	PI_ 597387; Pana	U.S.A. 	15
Gm_H258	PI_ 603154 	North Korea 	17
Gm_H259	PI_ 603170 	North Korea 	18
Gm_H260	PI_ 603175 	North Korea 	17
Gm_H261	PI_ 603176A 	North Korea 	25
Gm_H262	PI_ 603497 	China 	19
Gm_H263	PI_ 605869A 	Vietnam 	16
Gm_H264	PI_ 639740	U.S.A. 	16
Gm_H265	PI_ 647086 	U.S.A. 	14
Gm_H266	PI_ 658519	ND	18
Gm_H267	S07-5049 	U.S.A. 	19
Gm_H268	V71-370 	U.S.A. 	21
Gm_H269	FC 31721 	ND	19
Gm_H270	PI_ 438471	Sweden 	20
Gm_H271	PI_ 417091 	Japan 	24
Gm_H272	PI_ 417015 	Japan 	22
Gm_H273	HN108	ND	16
Gm_H274	33540-15 	ND	18
Gm_H275	33588-1 	ND	24
Gm_H276	33598-3 	ND	13
Gm_H277	8902	Canada	16
Gm_H278	9702	Canada	20
Gm_H279	Anta_82_RR 	Brazil	13
Gm_H280	BMX_Apolo_RR 	Brazil	15
Gm_H281	BMX_Desafio_RR 	Brazil	9
Gm_H282	BMX_Magna_RR 	Brazil	13
Gm_H283	BMX_Potencia_RR 	Brazil	15
Gm_H284	BMX_Turbo_RR 	Brazil	15
Gm_H285	BRSGO_Ipameri 	Brazil	15
Gm_H286	BRSGO_Mineiros_RR 	Brazil	11
Gm_H287	BRSMG_68_Vencedora 	Brazil	11
Gm_H288	BRSMG_752S 	Brazil	11
Gm_H289	BRSMG_810C 	Brazil	18
Gm_H290	BRS_133 	Brazil	16
Gm_H291	BRS_239 	Brazil	14
Gm_H292	BRS_255_RR 	Brazil	15
Gm_H293	BRS_283 	Brazil	17
