ID in GmHapMap dataset	PI_# & Name	Origin	Depth of Coverage (x)
Gm_H660	Cang Dou-11	China	10
Gm_H661	Liao Dou No.11	China	11
Gm_H662	PI_536635	China	12
Gm_H663	Dong Nong No.52	China	10
Gm_H664	Fen Dou No.86	China	12
Gm_H665	PI_508083	China	11
Gm_H666	PI_591541	China	12
Gm_H667	Su Nong No.10	China	14
Gm_H668	PI_548593	China	17
Gm_H669	Wei No.6823	China	8
Gm_H670	Su Nong No.33	China	11
Gm_H671	PI_634883	China	12
Gm_H672	Fen Dou No.79	China	9
Gm_H673	Jin Da No.52	China	11
Gm_H674	He Feng No.23	China	10
Gm_H675	PI_591511	China	11
Gm_H676	Fen Dou No.88	China	16
Gm_H677	PI_513382	China	22
Gm_H678	Liao Dou No.3	China	20
Gm_H679	FC 33243	China	18
Gm_H680	PI_548985	China	17
Gm_H681	PI_548477	China	14
Gm_H682	Su Nong No.14	China	16
Gm_H683	PI_547680	China	19
Gm_H684	Zhong Huang No.31	China	14
Gm_H685	PI_591431	China	18
Gm_H686	Dong Nong No.51	China	10
Gm_H687	PI_548524	China	10
Gm_H688	Shu Xian No.205	China	11
Gm_H689	Fen Dou No.89	China	12
Gm_H690	PI_542403	China	13
Gm_H691	Fen Dou No.63	China	14
Gm_H692	Tie Feng No.22	China	10
Gm_H693	ESS001	U.S.A.	50
Gm_H694	FOR001	U.S.A.	50
Gm_H695	PI_518664	U.S.A.	17
Gm_H696	S05-11482	U.S.A.	17
Gm_H697	PI_548667	U.S.A.	17
Gm_H698	S10-11227	U.S.A.	17
Gm_H699	Holladay	U.S.A.	17
Gm_H700	IA3023	U.S.A.	17
Gm_H701	Maverick	U.S.A.	17
Gm_H702	PI_542044	U.S.A.	17
Gm_H703	PI_547862	U.S.A.	17
Gm_H704	PI_548511	U.S.A.	17
Gm_H705	PI_548657	U.S.A.	17
Gm_H706	PI_552538	U.S.A.	17
Gm_H707	PI_591539	U.S.A.	17
Gm_H708	PI_593258	ND	17
Gm_H709	PI_597387	U.S.A.	17
Gm_H710	PI_639740	U.S.A.	17
Gm_H711	PI_647086	U.S.A.	17
Gm_H712	PI_658519	U.S.A.	17
Gm_H713	S07-5049	U.S.A.	17
Gm_H714	V71-370	U.S.A.	17
Gm_H715	PI_438471	Sweden	17
Gm_H716	OSAGE	U.S.A.	17
Gm_H717	ANAND	U.S.A.	17
Gm_H718	STODDARD	U.S.A.	17
Gm_H719	JTN 5503	U.S.A.	17
Gm_H720	PI595645	U.S.A.	17
Gm_H721	Rend	U.S.A.	17
Gm_H722	LD04-13265	U.S.A.	17
Gm_H723	Woodruff	U.S.A.	17
Gm_H724	Cook	U.S.A.	17
Gm_H725	N7001	U.S.A.	17
Gm_H726	Boggs	U.S.A.	17
Gm_H727	PI_548352	U.S.A.	17
Gm_H728	PI_548379	Canada	17
Gm_H729	PI_360955A	U.S.A.	17
Gm_H730	PI_653935	U.S.A.	17
Gm_H731	PI_248399	U.S.A.	17
Gm_H732	PI_619083	U.S.A.	17
Gm_H733	PI_543795	U.S.A.	17
Gm_H734	PI_559932	U.S.A.	17
Gm_H735	Jake	U.S.A.	20
Gm_H736	PI_548656	Algeria	40
Gm_H737	FC033243	Algeria	40
Gm_H738	PI_081785	Australia	40
Gm_H739	PI_166105	Australia	40
Gm_H740	PI_180501	Austria	40
Gm_H741	PI_240664	Belgium	40
Gm_H742	PI_266806C	Brazil	40
Gm_H743	PI_360957	Brazil	40
Gm_H744	PI_361087	Brazil	40
Gm_H745	PI_361093	Brazil	40
Gm_H746	PI_437265D	Canada	40
Gm_H747	PI_438335	Canada	40
Gm_H748	PI_468908	Canada	40
Gm_H749	PI_497964A	China	40
Gm_H750	PI_507180	China	40
Gm_H751	PI_518668	China	40
Gm_H752	PI_603458A	China	40
Gm_H753	PI_548193	China	40
Gm_H754	PI_548360	China	40
Gm_H755	PI_548364	China	40
Gm_H756	PI_548447	China	40
Gm_H757	PI_548452	China	40
Gm_H758	PI_548490	China	40
Gm_H759	PI_548520	China	40
Gm_H760	PI_548561	China	40
Gm_H761	PI_549018	China	40
Gm_H762	PI_549026	China	40
Gm_H763	PI_549041A	China	40
Gm_H764	PI_559932	China	40
Gm_H765	PI_567171	China	40
Gm_H766	PI_567426	China	40
Gm_H767	PI_567558	China	40
Gm_H768	PI_567604A	China	40
Gm_H769	PI_578309	China	40
Gm_H770	PI_578495	China	40
Gm_H771	PI_592523	China	40
Gm_H772	PI_592954	China	40
Gm_H773	PI_594307	China	40
Gm_H774	PI_597476	China	40
Gm_H775	PI_603426G	China	40
Gm_H776	PI_603442	China	40
Gm_H777	PI_548521	Japan	15
Gm_H778	PI_548524	Japan	15
Gm_H779	PI_548572	Japan	15
Gm_H780	PI_548582	Japan	15
Gm_H781	PI_548619	Japan	40
Gm_H782	PI_548633	Japan	15
Gm_H783	PI_548696	Japan	15
Gm_H784	PI_548978	Japan	15
Gm_H785	PI_556511	Japan	15
Gm_H786	PI_567407	Romania	40
Gm_H787	PI_567782	South Korea	15
Gm_H788	PI_594922	Ukraine	15
Gm_H789	PI_598358	U.S.A.	15
Gm_H790	PI_632418	U.S.A.	15
Gm_H791	PI_322692	Yugoslavia	40
Gm_H792	PI_567788	Yugoslavia	40
Gm_H793	Xiao Hei Dou	China	6
Gm_H794	Xiao Jin Huang	China	6
Gm_H795	PI_548533	China	10
Gm_H796	PI_547786	U.S.A.	5
Gm_H797	PI_548170	U.S.A.	6
Gm_H798	PI_548560	U.S.A.	6
Gm_H799	PI_556511	U.S.A.	6
Gm_H800	PI 556511_A3127	U.S.A.	7
Gm_H801	Lai Wu Ba Yue Zha	China	6
Gm_H802	L60-246	U.S.A.	7
Gm_H803	Le Shan Da Huang Ke	China	7
Gm_H804	Lao Shu Pi	China	6
Gm_H805	Ji Yu No.53	China	6
Gm_H806	Ji Yu No.63	China	6
Gm_H807	Kuban BenDi No.1	Russia	6
Gm_H808	Kuai Qing Pi	China	5
Gm_H809	Ji Shi Bai Hua	China	6
Gm_H810	Ji Ti No.2	China	7
Gm_H811	Ji Xiao No.6	China	6
Gm_H812	Ji Yu No.45	China	5
Gm_H813	Ji Nong No.14	China	5
Gm_H814	Ji Nong No.23	China	6
Gm_H815	Ji Nong No.9	China	6
Gm_H816	Ji Qing No.1	China	5
Gm_H817	Dong Nong No.59	China	6
Gm_H818	Dong Sheng No.1	China	7
Gm_H819	DcJSey4500	U.S.A.	6
Gm_H820	Dong Nong No.44	China	11
Gm_H821	Di Liu Huang Dou-2	China	6
Gm_H822	Heng Feng Wu Dou	China	6
Gm_H823	Shan Xi Ping Ding Huang	China	5
Gm_H824	Shang Hai Chi Sha Huang Dou	China	5
Gm_H825	Shan Ning No.12	China	17
Gm_H826	Shan Ning No.7	China	5
Gm_H827	Rui Jin Qing Pi Dou	China	6
Gm_H828	Shan Dou No.125	China	7
Gm_H829	Rao Shan Gun	China	6
Gm_H830	Ri Ben Hei Qi	Japan	7
Gm_H831	Jiu Nong No.27	China	5
Gm_H832	Jiu Nong No.21	China	7
Gm_H833	Ni Ri Li Ya No.4	Nigeria	9
Gm_H834	Niu Mao Huang	China	6
Gm_H835	Bi Yang Niu Mao Huang	China	5
Gm_H836	Bi Yang Xiao Zi Huang	China	5
Gm_H837	Bei Dou No.9	China	10
Gm_H838	Bei Hai Dao Da Dou	Japan	5
Gm_H839	Ben Di Da Huang Dou	China	7
Gm_H840	Ji Huang No.13	China	6
Gm_H841	Ji Dou No.7	China	7
Gm_H842	Ji Lin No.21	China	6
Gm_H843	Ji Ke Dou No.1	China	5
Gm_H844	Ji Lin No.35	China	6
Gm_H845	Ji Lin No.31	China	5
Gm_H846	Ji Lin No.45	China	6
Gm_H847	Ji No.56	China	5
Gm_H848	Ji NF No.58	China	6
Gm_H849	Chang Ji Huang Dou 1	China	6
Gm_H850	Chang Yuan Xiao Tian E Dan	China	6
Gm_H851	Feng Xian Sui Dao Huang	China	6
Gm_H852	Gui Chun No.2	China	9
Gm_H853	Guo Yang Da Jian Ke	China	6
Gm_H854	Han Dou No.10	China	7
Gm_H855	Han No.6192	China	6
Gm_H856	Gong Xian Er Ji Zao	China	6
Gm_H857	Guan Nan Chun Hei Dou	China	6
Gm_H858	Guan Yun Hai Bai Hua	China	6
Gm_H859	Guan Yun Mao Ye Dou	China	6
Gm_H860	Chang Dou No.001	China	6
Gm_H861	Feng Jiao 66-12	China	5
Gm_H862	He Dou No.10	China	6
Gm_H863	He Dou No.16	China	5
Gm_H864	Chang Dou No.003	China	5
Gm_H865	Xi Chuan Ji Wo Huang	China	5
Gm_H866	Fu Yang No.335	China	14
Gm_H867	Fo Ding Zhu	China	6
Gm_H868	Fen Dou No.28	China	6
Gm_H869	Fen Dou No.16	China	5
Gm_H870	Fen Dou No.62	China	6
Gm_H871	Fen Dou No.56	China	7
Gm_H872	PolandYellow	Poland	8
Gm_H873	Ping Yi Liu Yue Xian	China	6
Gm_H874	PI_567730	China	6
Gm_H875	PI_567720A	China	6
Gm_H876	PI_632420	U.S.A.	6
Gm_H877	PI_59845	Japan	5
Gm_H878	PI_283327	China	10
Gm_H879	PI_81775	Japan	6
Gm_H880	Ping Ding Huang Dou	China	6
Gm_H881	Ping Ding Hei	China	7
Gm_H882	Jin Dou No.41	China	6
Gm_H883	Jin Dou No.43	China	5
Gm_H884	Jin Dou No.10	China	5
Gm_H885	Jin Dou No.1	China	13
Gm_H886	Jin Yi No.31	China	5
Gm_H887	Jin Yi No.43	China	6
Gm_H888	Jin Yi No.46	China	5
Gm_H889	Jin Yi No.51	China	5
Gm_H890	Jian No.9	China	6
Gm_H891	Jian No.8	China	7
Gm_H892	Ji Yuan Shui Bai Dou	China	6
Gm_H893	Ji Yu No.76	China	6
Gm_H894	Jin Da No.78-2	China	5
Gm_H895	Jin Da No.78-1	China	5
Gm_H896	Jin Da No.74	China	6
Gm_H897	Jie Jie Si	China	5
Gm_H898	Peng Xi Da Liu Yue Huang	China	6
Gm_H899	PI_297543	China	6
Gm_H900	Pei Xian Hong Mao You	China	6
Gm_H901	Pei Xian Hong Mao You Jia	China	7
Gm_H902	Pei Xian La Yang Huang	China	6
Gm_H903	Pei Xian Si Li Cao	China	6
Gm_H904	Niu Yan Jing Quan Zi	China	7
Gm_H905	Pa Man Qing	China	6
Gm_H906	Pei Xian Ba Yue Zha	China	6
Gm_H907	Pei Xian Da Bai Jiao	China	6
Gm_H908	Huang Dou 1	China	5
Gm_H909	Sui Wu Xing No.1	China	14
Gm_H910	Sui Xiao Li Dou No.1	China	6
Gm_H911	Hua Dou No.1	China	6
Gm_H912	Hua Dou No.2	China	5
Gm_H913	Huai De Bai Hua Da Li	China	5
Gm_H914	Shi Sheng Chang Ye	Japan	6
Gm_H915	Shui Li Zhan	China	5
Gm_H916	Shi Da Dou No.1	China	6
Gm_H917	Shi Dou No.411	China	5
Gm_H918	Wu Xing No.2	China	6
Gm_H919	Wu Xing No.3	China	6
Gm_H920	SRF 300	U.S.A.	6
Gm_H921	Wu Chang Liu Yue Bao	China	5
Gm_H922	Ke Feng No.6	China	11
Gm_H923	Ke Feng No.53	China	7
Gm_H924	Xepcoh BenDi No.1	Ukraine	5
Gm_H925	Tai Xing Hei Dou	China	6
Gm_H926	Bai Qi Da Wan Dou	China	5
Gm_H927	Bai Pi Huang Dou	China	5
Gm_H928	Beeson	U.S.A.	6
Gm_H929	Mamotan_F-8_A	U.S.A.	5
Gm_H930	Mei Guo Da Dou	U.S.A.	6
Gm_H931	Mei Guo Hak08g	U.S.A.	6
Gm_H932	Mei No.2	U.S.A.	6
Gm_H933	He Feng No.35	China	6
Gm_H934	He Feng No.30	China	6
Gm_H935	He Long You Tai	China	5
Gm_H936	Chi Cheng Lyu Huang Dou	China	7
Gm_H937	Da Bai Pi	China	5
Gm_H938	Jin Dou No.21	China	6
Gm_H939	Jin Dou No.16	China	7
Gm_H940	Ke Xin No.4	China	6
Gm_H941	Ke Xin No.3	China	6
Gm_H942	PI_547782	U.S.A.	6
Gm_H943	PI_547745	U.S.A.	6
Gm_H944	PI_547539	U.S.A.	6
Gm_H945	PI_525453	U.S.A.	7
Gm_H946	PI_423766	South Korea	6
Gm_H947	PI_317334B	Japan	22
Gm_H948	PI_547732	U.S.A.	5
Gm_H949	PI_547612	U.S.A.	11
Gm_H950	PI_547553	U.S.A.	5
Gm_H951	PI_547549	U.S.A.	7
Gm_H952	Ba Hong No.1	China	5
Gm_H953	Amsoy	U.S.A.	6
Gm_H954	AGS292	China	12
Gm_H955	Si Li Yuan	China	6
Gm_H956	Huang Sha Dou_America	U.S.A.	6
Gm_H957	Huang Qi	China	6
Gm_H958	Huang Mao Dou	China	5
Gm_H959	Huang Dou 2	China	8
Gm_H960	Si Jiao Qi	China	5
Gm_H961	Si Jiao Qi Huang Dou	China	6
Gm_H962	Jin Dou No.501	China	6
Gm_H963	Jin Yi No.10	China	7
Gm_H964	Yan Nong No.3	China	7
Gm_H965	Jin Yi No.52	China	6
Gm_H966	Jin Yi No.59	China	6
Gm_H967	Xu Dou No.10	China	6
Gm_H968	Xu Dou No.11	China	6
Gm_H969	Xiao Qing Dou	China	7
Gm_H970	Xin Da Dou No.1	China	5
Gm_H971	Xin Da Dou No.8	China	6
Gm_H972	Gao Feng No.1	China	5
Gm_H973	Fu75-65	China	5
Gm_H974	Qun Xuan No.1	China	7
Gm_H975	Qing No.6	China	5
Gm_H976	Qing Ke Yuan Dou	China	6
Gm_H977	Qing An Hei Dou	China	6
Gm_H978	Qin Yang Bai Dou	China	7
Gm_H979	Lincoln	U.S.A.	7
Gm_H980	Liao Dou No.31	China	6
Gm_H981	Lin Dou No.10	China	14
Gm_H982	Liao Dou No.16	China	6
Gm_H983	Liao Dou No.22	China	6
Gm_H984	Liao Dou No.10	China	6
Gm_H985	Liu Shi Tian Huan Cang	China	7
Gm_H986	Hei Nong No.48	China	11
Gm_H987	Da Hei Qi	China	5
Gm_H988	Yu Xuan No.13	China	9
Gm_H989	Yu Dou No.22	China	8
Gm_H990	Yong Cheng Xiao Jian Ke	China	5
Gm_H991	Wu Gong Yi Wo Feng	China	6
Gm_H992	You Bian No.30	China	6
Gm_H993	Yong Cheng Yang Yan Dou	China	6
Gm_H994	Yu Dou No.12	China	6
Gm_H995	Yu Dou No.10	China	8
Gm_H996	Yu Dou No.2	China	7
Gm_H997	Yu Dou No.18	China	8
Gm_H998	Zhong Huang No.49	China	7
Gm_H999	Zhong Huang No.48	China	6
Gm_H1000	Zou Ping Hei Ma Hu Yan	China	6
Gm_H1001	Zhong Huang No.30	China	5
Gm_H1002	Zhong Huang No.28	China	6
Gm_H1003	Zhong Huang No.39	China	13
Gm_H1004	Zhong Huang No.41	China	5
Gm_H1005	Zhong Huang No.4	China	5
Gm_H1006	Zhong Huang No.44	China	7
Gm_H1007	Zhong Huang No.43	China	7
